record_id,document_family,split
0033e65b677f307b,family_b,train
004882a916ce63e6,family_a,train
0072e1fd0c929bd4,family_b,train
009547e20f2b66f0,family_a,train
00bedefe16f18a8d,family_a,train
0119a55848f2a5a7,family_a,train
01937f712e74e1fc,family_b,train
01a2f2e450e9f40c,family_a,train
01d2098e0f10ad6c,family_b,train
0244a2e20f6e8082,family_a,train
024fa29d0c4e488a,family_b,train
027dcbc04ae635dd,family_b,train
029bdc5df8c5b9b7,family_a,train
02abb2e917445292,family_b,train
02f1657640b1a947,family_b,train
03074d7304de3a91,family_a,train
03140812d07544bb,family_a,train
034f681b72ebfc38,family_a,train
035fc99831d8700b,family_b,val
03d51c46c1d7b29c,family_b,train
03d890b10499b7da,family_b,train
03e40d1794de2320,family_b,val
0418ce80f189cf00,family_b,train
0421ccb90b68ac7b,family_b,train
047fa6ceee583a5e,family_b,val
04e7e01c9fb6c383,family_b,train
05277317520d3d60,family_b,train
059ddb49b2a4dd6e,family_b,test
06272a2079199717,family_a,train
0668491b6361838b,family_b,test
06a40b112aa1b224,family_b,train
06da340c851367e3,family_a,train
06fed367cb645f9c,family_a,test
07ac5f1944422198,family_b,train
07da6ab0de3e1100,family_b,train
07e3111db2a74b13,family_a,test
0813f4429d761365,family_b,train
0826212217894163,family_a,train
090848de074a67ce,family_a,train
094ea8c6db6aeacb,family_b,train
09674febc6643db6,family_a,train
09abce57e4946898,family_b,val
0a063518578a2ace,family_a,train
0a2a6567af096d6f,family_a,train
0a3426b3c97c925d,family_b,val
0a51fd09a7d0eed0,family_b,train
0b58b396a6849e4f,family_a,train
0b80bfc21dc2b475,family_b,train
0b945060b5794197,family_b,train
0bf3420897ecbb64,family_a,train
0c1c5ff81cf0e6bf,family_a,train
0caa051de594f195,family_a,train
0d0f12d592980344,family_b,train
0de6be05eaa80efb,family_a,train
0df18a1eef8e0437,family_b,train
0df20592bed9f4f1,family_a,test
0e04ee2e2244991a,family_b,train
0e2e14708d5d3184,family_a,train
0e866b80c3213c21,family_b,train
0ee5cd1d9e55aa9a,family_b,train
0f1cfdb7db91de87,family_b,train
0f9ee1cd43aab05f,family_b,train
0f9f726a7ee1f3f1,family_a,train
1013103ec8210e53,family_b,train
