id,document_family,record_id,template_variant,tamper_type,final_label,cnn_label,image_path,label_path
family_a_000000_genuine,family_a,be7888afac4ee2cc,v2,genuine,genuine,genuine,images/family_a/family_a_000000_genuine.png,labels/family_a_000000_genuine.json
family_a_000001_text_qr_mismatch,family_a,be7888afac4ee2cc,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000001_text_qr_mismatch.png,labels/family_a_000001_text_qr_mismatch.json
family_a_000002_qr_only_mismatch,family_a,be7888afac4ee2cc,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000002_qr_only_mismatch.png,labels/family_a_000002_qr_only_mismatch.json
family_a_000003_checksum_invalid,family_a,be7888afac4ee2cc,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000003_checksum_invalid.png,labels/family_a_000003_checksum_invalid.json
family_a_000004_format_invalid,family_a,be7888afac4ee2cc,v2,format_invalid,forged,genuine,images/family_a/family_a_000004_format_invalid.png,labels/family_a_000004_format_invalid.json
family_a_000005_field_missing,family_a,be7888afac4ee2cc,v2,field_missing,forged,genuine,images/family_a/family_a_000005_field_missing.png,labels/family_a_000005_field_missing.json
family_a_000006_fine_grained_edit,family_a,be7888afac4ee2cc,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000006_fine_grained_edit.png,labels/family_a_000006_fine_grained_edit.json
family_a_000007_coordinated_full_forgery,family_a,be7888afac4ee2cc,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000007_coordinated_full_forgery.png,labels/family_a_000007_coordinated_full_forgery.json
family_a_000008_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,images/family_a/family_a_000008_visual_splice.png,labels/family_a_000008_visual_splice.json
family_a_000009_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,images/family_a/family_a_000009_visual_splice.png,labels/family_a_000009_visual_splice.json
family_a_000010_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,images/family_a/family_a_000010_visual_splice.png,labels/family_a_000010_visual_splice.json
family_a_000033_genuine,family_a,4efd1ea374ac7007,v2,genuine,genuine,genuine,images/family_a/family_a_000033_genuine.png,labels/family_a_000033_genuine.json
family_a_000034_text_qr_mismatch,family_a,4efd1ea374ac7007,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000034_text_qr_mismatch.png,labels/family_a_000034_text_qr_mismatch.json
family_a_000035_qr_only_mismatch,family_a,4efd1ea374ac7007,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000035_qr_only_mismatch.png,labels/family_a_000035_qr_only_mismatch.json
family_a_000036_checksum_invalid,family_a,4efd1ea374ac7007,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000036_checksum_invalid.png,labels/family_a_000036_checksum_invalid.json
family_a_000037_format_invalid,family_a,4efd1ea374ac7007,v2,format_invalid,forged,genuine,images/family_a/family_a_000037_format_invalid.png,labels/family_a_000037_format_invalid.json
family_a_000038_field_missing,family_a,4efd1ea374ac7007,v2,field_missing,forged,genuine,images/family_a/family_a_000038_field_missing.png,labels/family_a_000038_field_missing.json
family_a_000039_fine_grained_edit,family_a,4efd1ea374ac7007,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000039_fine_grained_edit.png,labels/family_a_000039_fine_grained_edit.json
family_a_000040_coordinated_full_forgery,family_a,4efd1ea374ac7007,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000040_coordinated_full_forgery.png,labels/family_a_000040_coordinated_full_forgery.json
family_a_000041_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,images/family_a/family_a_000041_visual_splice.png,labels/family_a_000041_visual_splice.json
family_a_000042_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,images/family_a/family_a_000042_visual_splice.png,labels/family_a_000042_visual_splice.json
family_a_000043_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,images/family_a/family_a_000043_visual_splice.png,labels/family_a_000043_visual_splice.json
family_a_000044_genuine,family_a,a616da14d1c99779,v2,genuine,genuine,genuine,images/family_a/family_a_000044_genuine.png,labels/family_a_000044_genuine.json
family_a_000045_text_qr_mismatch,family_a,a616da14d1c99779,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000045_text_qr_mismatch.png,labels/family_a_000045_text_qr_mismatch.json
family_a_000046_qr_only_mismatch,family_a,a616da14d1c99779,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000046_qr_only_mismatch.png,labels/family_a_000046_qr_only_mismatch.json
family_a_000047_checksum_invalid,family_a,a616da14d1c99779,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000047_checksum_invalid.png,labels/family_a_000047_checksum_invalid.json
family_a_000048_format_invalid,family_a,a616da14d1c99779,v2,format_invalid,forged,genuine,images/family_a/family_a_000048_format_invalid.png,labels/family_a_000048_format_invalid.json
family_a_000049_field_missing,family_a,a616da14d1c99779,v2,field_missing,forged,genuine,images/family_a/family_a_000049_field_missing.png,labels/family_a_000049_field_missing.json
family_a_000050_fine_grained_edit,family_a,a616da14d1c99779,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000050_fine_grained_edit.png,labels/family_a_000050_fine_grained_edit.json
family_a_000051_coordinated_full_forgery,family_a,a616da14d1c99779,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000051_coordinated_full_forgery.png,labels/family_a_000051_coordinated_full_forgery.json
family_a_000052_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,images/family_a/family_a_000052_visual_splice.png,labels/family_a_000052_visual_splice.json
family_a_000053_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,images/family_a/family_a_000053_visual_splice.png,labels/family_a_000053_visual_splice.json
family_a_000054_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,images/family_a/family_a_000054_visual_splice.png,labels/family_a_000054_visual_splice.json
family_a_000055_genuine,family_a,0e2e14708d5d3184,v2,genuine,genuine,genuine,images/family_a/family_a_000055_genuine.png,labels/family_a_000055_genuine.json
family_a_000056_text_qr_mismatch,family_a,0e2e14708d5d3184,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000056_text_qr_mismatch.png,labels/family_a_000056_text_qr_mismatch.json
family_a_000057_qr_only_mismatch,family_a,0e2e14708d5d3184,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000057_qr_only_mismatch.png,labels/family_a_000057_qr_only_mismatch.json
family_a_000058_checksum_invalid,family_a,0e2e14708d5d3184,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000058_checksum_invalid.png,labels/family_a_000058_checksum_invalid.json
family_a_000059_format_invalid,family_a,0e2e14708d5d3184,v2,format_invalid,forged,genuine,images/family_a/family_a_000059_format_invalid.png,labels/family_a_000059_format_invalid.json
family_a_000060_field_missing,family_a,0e2e14708d5d3184,v2,field_missing,forged,genuine,images/family_a/family_a_000060_field_missing.png,labels/family_a_000060_field_missing.json
