id,record_id,split,tamper_type,final_label,qr_readable,text_qr_match_score,checksum_valid,format_valid,missing_field_count,ocr_field_presence_count,ocr_field_presence_rate,qr_field_count,ocr_qr_key_overlap_count,checksum_computed,document_family,field_similarity__0,field_similarity__1,field_similarity__2,field_similarity__3,field_similarity__4
family_a_000000_genuine,be7888afac4ee2cc,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000001_text_qr_mismatch,be7888afac4ee2cc,train,text_qr_mismatch,1,1.0,0.873,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.3636363636363636,1.0,1.0,1.0,1.0
family_a_000002_qr_only_mismatch,be7888afac4ee2cc,train,qr_only_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000003_checksum_invalid,be7888afac4ee2cc,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000004_format_invalid,be7888afac4ee2cc,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000005_field_missing,be7888afac4ee2cc,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000006_fine_grained_edit,be7888afac4ee2cc,train,fine_grained_edit,1,1.0,0.967,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0
family_a_000007_coordinated_full_forgery,be7888afac4ee2cc,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000008_visual_splice,be7888afac4ee2cc,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000009_visual_splice,be7888afac4ee2cc,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000010_visual_splice,be7888afac4ee2cc,train,visual_splice,1,1.0,0.987,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.935483870967742
family_a_000033_genuine,4efd1ea374ac7007,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000034_text_qr_mismatch,4efd1ea374ac7007,train,text_qr_mismatch,1,1.0,0.895,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.4761904761904761,1.0,1.0,1.0,1.0
family_a_000035_qr_only_mismatch,4efd1ea374ac7007,train,qr_only_mismatch,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000036_checksum_invalid,4efd1ea374ac7007,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000037_format_invalid,4efd1ea374ac7007,train,format_invalid,1,1.0,0.983,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000038_field_missing,4efd1ea374ac7007,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000039_fine_grained_edit,4efd1ea374ac7007,train,fine_grained_edit,1,1.0,0.967,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0
family_a_000040_coordinated_full_forgery,4efd1ea374ac7007,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000041_visual_splice,4efd1ea374ac7007,train,visual_splice,1,1.0,0.977,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8857142857142857
family_a_000042_visual_splice,4efd1ea374ac7007,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000043_visual_splice,4efd1ea374ac7007,train,visual_splice,1,1.0,0.8,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
family_a_000044_genuine,a616da14d1c99779,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000045_text_qr_mismatch,a616da14d1c99779,train,text_qr_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000046_qr_only_mismatch,a616da14d1c99779,train,qr_only_mismatch,1,1.0,0.9,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0
family_a_000047_checksum_invalid,a616da14d1c99779,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000048_format_invalid,a616da14d1c99779,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000049_field_missing,a616da14d1c99779,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000050_fine_grained_edit,a616da14d1c99779,train,fine_grained_edit,1,1.0,0.98,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.9,1.0,1.0,1.0
family_a_000051_coordinated_full_forgery,a616da14d1c99779,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000052_visual_splice,a616da14d1c99779,train,visual_splice,1,1.0,0.974,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8717948717948718
