feature,importance_mean,importance_std,feature_group
text_qr_match_score,0.16812755555555559,0.009495801135758692,m3
field_similarity__3,0.007794222222222258,0.004463467643817714,m3
format_valid,0.005112444444444408,0.004388506785054468,m3
field_similarity__1,0.004868888888888856,0.0037047644999379146,m3
field_similarity__2,0.002284444444444378,0.001785816270809046,m3
ocr_field_presence_rate,0.0019440000000000123,0.0027086945149478723,m3
forensic_reg_lap_std_cv,0.001936888888888899,0.004087126576743251,forensic
forensic_reg_entropy_dispersion,0.0017320000000000447,0.0022815145933142633,forensic
forensic_reg_grad_mag_max_z,0.0011635555555556064,0.0019293223271333714,forensic
forensic_reg_lap_std_max_z,0.0010920000000000484,0.002061375113370817,forensic
field_similarity__4,0.0008928888888888542,0.0021044359497658345,m3
forensic_reg_qr_vs_body_grad_ratio,0.0007217777777777324,0.0014939439227910853,forensic
forensic_reg_grad_mag_mean,0.00024222222222221036,0.00079618845092271,forensic
forensic_reg_edge_density_mean,0.0001986666666667025,0.0023033268907022,forensic
checksum_valid,4.4888888888916514e-05,0.0017451355460462515,m3
field_similarity__0,-0.00016044444444442973,0.0012512199676345146,m3
forensic_reg_anomalous_regions_count,-0.00017555555555555103,0.00040999849442664466,forensic
ocr_qr_key_overlap_count,-0.00024622222222221436,0.001082725778353521,m3
checksum_computed,-0.00026622222222223436,2.095969088457319e-05,m3
ocr_field_presence_count,-0.00026799999999993496,0.002580648822617832,m3
missing_field_count,-0.0003457777777777782,0.004600545238754537,m3
qr_readable,-0.0006764444444444573,0.0001345030175437899,m3
forensic_reg_grad_mag_dispersion,-0.0007737777777778287,0.002944763722731582,forensic
qr_field_count,-0.0008137777777778021,0.0001421346952891522,m3
forensic_reg_edge_density_dispersion,-0.0014857777777777636,0.002433909257060513,forensic
forensic_reg_qr_vs_body_lap_ratio,-0.0020204444444444913,0.002043459859535006,forensic
forensic_reg_lap_std_mean,-0.0020346666666666733,0.0022765195874621356,forensic
forensic_reg_entropy_mean,-0.0021951111111111034,0.002751935040864132,forensic
forensic_reg_grad_mag_cv,-0.0028186666666666802,0.0010913329487091603,forensic
forensic_reg_lap_std_dispersion,-0.00474622222222223,0.002413826591703446,forensic
forensic_reg_edge_density_max_z,-0.005600444444444475,0.002568793308487153,forensic
