role,feature,genuine_N,coord_N,genuine_mean,coord_mean,cohens_d,ks_pvalue
address,local_contrast,75,75,0.9998,0.9979,-0.3457,0.9025824944167903
address,grad_mag_mean,75,75,390.2713,384.2881,-0.2392,0.3974450299113081
address,edge_density,75,75,0.2371,0.2377,0.0417,0.5204338436354516
address,laplacian_var,75,75,20922.8243,19514.5276,-0.2566,0.14686332936650653
address,text_bg_contrast,75,75,0.1998,0.2027,0.1306,0.5204338436354516
address,boundary_discontinuity,75,75,0.2968,0.2923,-0.0221,0.3974450299113081
address,field_to_bg_gradient_ratio,75,75,1.618,1.631,0.1139,0.6561763706360505
dob,local_contrast,75,75,0.9997,0.9949,-0.5006,0.3974450299113081
dob,grad_mag_mean,75,75,476.2557,471.2834,-0.1498,0.3974450299113081
dob,edge_density,75,75,0.3081,0.3092,0.0626,0.9717333170639332
dob,laplacian_var,75,75,27831.9302,26562.9926,-0.1709,0.21067424165457352
dob,text_bg_contrast,75,75,0.3131,0.3123,-0.0396,0.9025824944167903
dob,boundary_discontinuity,75,75,2.3816,2.2741,-0.3465,0.042103113990931
dob,field_to_bg_gradient_ratio,75,75,2.0704,2.0785,0.1541,0.21067424165457352
entity_type,local_contrast,74,75,0.9378,0.9395,0.0314,0.9954517129493061
entity_type,grad_mag_mean,74,75,441.2146,444.1345,0.1095,0.3151408708157971
entity_type,edge_density,74,75,0.3118,0.3106,-0.1199,0.35719285878459306
entity_type,laplacian_var,74,75,24799.4603,26012.3954,0.1673,0.22304539751613497
entity_type,text_bg_contrast,74,75,0.303,0.3041,0.1195,0.8778858094976543
entity_type,boundary_discontinuity,74,75,4.996,4.9184,-0.142,0.3807050645098374
entity_type,field_to_bg_gradient_ratio,74,75,2.3031,2.3108,0.1744,0.3094179771395132
full_name,local_contrast,74,75,0.9424,0.9408,-0.0291,0.9997859530192107
full_name,grad_mag_mean,74,75,403.541,400.2497,-0.0825,0.6644867003057807
full_name,edge_density,74,75,0.2802,0.2772,-0.106,0.4645161597676776
full_name,laplacian_var,74,75,23025.5574,23253.9981,0.0341,0.7134236637839799
full_name,text_bg_contrast,74,75,0.2655,0.2624,-0.0755,0.23378593412185628
full_name,boundary_discontinuity,74,75,3.4924,3.3784,-0.0559,0.6264716046052503
full_name,field_to_bg_gradient_ratio,74,75,2.1601,2.1589,-0.0105,0.48700433054361364
gender,local_contrast,75,75,0.9989,0.9969,-0.294,0.9717333170639332
gender,grad_mag_mean,75,75,499.473,492.5473,-0.2022,0.06565104950987122
gender,edge_density,75,75,0.3098,0.3104,0.0357,0.9717333170639332
gender,laplacian_var,75,75,27951.1902,26403.1122,-0.2239,0.09956376192379453
gender,text_bg_contrast,75,75,0.3503,0.3507,0.0148,0.9717333170639332
gender,boundary_discontinuity,75,75,2.1722,2.1674,-0.015,0.9717333170639332
gender,field_to_bg_gradient_ratio,75,75,2.2197,2.2157,-0.0308,0.5204338436354516
id_number,local_contrast,75,75,0.9993,0.9977,-0.2459,0.9717333170639332
id_number,grad_mag_mean,75,75,502.036,494.2385,-0.2154,0.14686332936650653
id_number,edge_density,75,75,0.3151,0.3152,0.0035,0.7906561065069353
id_number,laplacian_var,75,75,30334.7822,28659.5041,-0.2036,0.14686332936650653
id_number,text_bg_contrast,75,75,0.3367,0.3343,-0.1103,0.2937246924053884
id_number,boundary_discontinuity,75,75,2.212,2.2236,0.0458,0.7906561065069353
id_number,field_to_bg_gradient_ratio,75,75,1.9003,1.8925,-0.1937,0.2937246924053884
jurisdiction_code,local_contrast,74,75,0.9395,0.9392,-0.006,0.904757481839785
jurisdiction_code,grad_mag_mean,74,75,417.1652,419.0503,0.0748,0.2048526837974377
jurisdiction_code,edge_density,74,75,0.2962,0.2948,-0.1173,0.8356927642360877
jurisdiction_code,laplacian_var,74,75,26381.1245,27059.4009,0.0884,0.30161581875487353
jurisdiction_code,text_bg_contrast,74,75,0.2791,0.2794,0.0371,0.1207792215774055
jurisdiction_code,boundary_discontinuity,74,75,6.1572,6.4114,0.3182,0.005770399804873558
jurisdiction_code,field_to_bg_gradient_ratio,74,75,2.5734,2.5639,-0.1315,0.367589363987873
name,local_contrast,75,75,0.9991,0.9964,-0.3144,0.9717333170639332
name,grad_mag_mean,75,75,435.0086,420.618,-0.387,0.0053773062238049564
name,edge_density,75,75,0.2748,0.2695,-0.228,0.5204338436354516
name,laplacian_var,75,75,23018.5148,20939.3273,-0.336,0.06565104950987122
name,text_bg_contrast,75,75,0.2851,0.2753,-0.3113,0.21067424165457352
name,boundary_discontinuity,75,75,1.531,1.3642,-0.2278,0.21067424165457352
name,field_to_bg_gradient_ratio,75,75,2.0186,2.0032,-0.289,0.21067424165457352
registration_date,local_contrast,74,75,0.9531,0.9521,-0.0227,0.8678347819076775
registration_date,grad_mag_mean,74,75,439.6684,442.4263,0.0879,0.17992387390017953
registration_date,edge_density,74,75,0.3307,0.3299,-0.0333,0.1561930350284277
registration_date,laplacian_var,74,75,27319.0456,28015.7115,0.0906,0.5156357700732703
registration_date,text_bg_contrast,74,75,0.3013,0.3025,0.0619,0.5348178590100335
registration_date,boundary_discontinuity,74,75,6.6388,6.4423,-0.2013,0.3151408708157971
registration_date,field_to_bg_gradient_ratio,74,75,2.2145,2.2129,-0.0133,0.52763021038284
registry_id,local_contrast,74,75,0.9494,0.9512,0.039,0.903307490246078
