feature,genuine_mean,genuine_std,coord_mean,coord_std,visual_splice_mean,fine_grained_mean,cohens_d,ks_statistic,ks_pvalue,single_feature_roc_auc,single_feature_pr_auc,signal_classification
within_doc_mean_abs_zscore,0.8017,0.0778,0.8151,0.0419,0.8047,0.8087,0.2145,0.1467,0.07930977331891072,0.5608,0.5499,NO_SIGNAL
field_local_entropy_std,0.2866,0.1138,0.3114,0.1196,0.3023,0.2847,0.2129,0.14,0.10573819431184933,0.56,0.5423,NO_SIGNAL
field_edge_density_std,0.0288,0.0087,0.0308,0.0087,0.0304,0.0293,0.2386,0.12,0.23078236357216822,0.5558,0.5797,NO_SIGNAL
field_local_entropy_range,0.7802,0.3143,0.8333,0.317,0.8257,0.7693,0.1681,0.12,0.23078236357216822,0.5513,0.5332,NO_SIGNAL
field_gray_mean_std,9.1274,3.5773,9.8516,3.8152,10.0378,9.1642,0.1958,0.0933,0.5321869291503776,0.5447,0.5567,NO_SIGNAL
field_hf_residual_energy_std,3202.1677,1240.3271,3412.1071,1263.8909,3635.848,3272.6458,0.1677,0.1067,0.3617268879273219,0.5419,0.5465,NO_SIGNAL
field_laplacian_var_std,3190.7205,1238.737,3399.2332,1262.6462,3624.8236,3260.8832,0.1667,0.1133,0.29107399113413146,0.5417,0.5465,NO_SIGNAL
field_hf_residual_energy_range,8751.0937,3435.6224,9260.1768,3360.7752,9989.1937,8963.9828,0.1498,0.12,0.23078236357216822,0.5416,0.5337,NO_SIGNAL
field_laplacian_var_range,8719.3213,3429.7597,9224.0716,3356.0403,9959.0,8932.3596,0.1488,0.12,0.23078236357216822,0.5412,0.5336,NO_SIGNAL
field_grad_mag_mean_std,35.7212,13.8384,37.8127,13.8758,42.109,35.6331,0.1509,0.0733,0.8164826980883894,0.5372,0.5527,NO_SIGNAL
within_doc_zscore_dispersion,0.5513,0.069,0.5465,0.0554,0.5525,0.5514,-0.0759,0.1333,0.13906219315479607,0.5367,0.5335,NO_SIGNAL
field_edge_density_range,0.0799,0.024,0.0841,0.0239,0.0837,0.081,0.1753,0.0933,0.5321869291503776,0.5365,0.5501,NO_SIGNAL
field_edge_density_max,0.3326,0.0318,0.3366,0.0169,0.3331,0.3352,0.1545,0.0933,0.5321869291503776,0.5356,0.5308,NO_SIGNAL
field_gray_mean_range,25.5131,9.9368,27.1696,10.1901,27.933,25.4885,0.1646,0.1,0.4425235033915137,0.5356,0.5382,NO_SIGNAL
field_grad_mag_std_range,27.2517,9.2602,28.6538,9.7943,31.9557,27.669,0.1471,0.1,0.4425235033915137,0.5353,0.5398,NO_SIGNAL
field_grad_mag_mean_mean,443.565,46.5582,443.2664,28.0227,437.8832,444.8313,-0.0078,0.1,0.4425235033915137,0.5346,0.5147,NO_SIGNAL
field_cc_density_std,0.8167,0.4628,0.8343,0.4197,0.8678,0.7988,0.0398,0.0933,0.5321869291503776,0.5344,0.5113,NO_SIGNAL
field_grad_mag_mean_range,97.7992,36.9726,102.834,36.6704,115.3112,97.8816,0.1367,0.0933,0.5321869291503776,0.534,0.5398,NO_SIGNAL
field_grad_mag_std_std,10.1681,3.4144,10.7034,3.7099,11.8632,10.1563,0.1502,0.1,0.4425235033915137,0.5329,0.5427,NO_SIGNAL
field_local_contrast_range,0.0193,0.0273,0.0217,0.0281,0.0208,0.0192,0.085,0.0733,0.8164826980883894,0.531,0.5247,NO_SIGNAL
field_gray_mean_max,185.9017,16.3699,187.6077,5.7252,188.8425,187.158,0.1391,0.0867,0.6279165272026672,0.531,0.5118,NO_SIGNAL
field_cc_density_range,2.3576,1.3657,2.3951,1.213,2.4833,2.2917,0.0291,0.1,0.4425235033915137,0.5288,0.5072,NO_SIGNAL
field_local_contrast_std,0.0074,0.0102,0.0082,0.0104,0.0079,0.0072,0.0764,0.0667,0.8943205382966369,0.5276,0.5187,NO_SIGNAL
field_gray_std_mean,93.5083,10.2981,93.7229,6.4925,92.6332,93.8678,0.0249,0.1067,0.3617268879273219,0.5246,0.5032,NO_SIGNAL
field_text_bg_contrast_max,0.3426,0.0372,0.3471,0.0261,0.3426,0.3441,0.1399,0.08,0.7249566931207618,0.5241,0.5401,NO_SIGNAL
field_text_bg_contrast_std,0.0414,0.0186,0.0431,0.0169,0.0464,0.0416,0.097,0.0867,0.6279165272026672,0.5241,0.5129,NO_SIGNAL
field_gray_mean_mean,171.9902,14.3482,173.2811,2.9529,173.1237,173.2369,0.1246,0.0667,0.8943205382966369,0.5228,0.5298,NO_SIGNAL
field_grad_mag_std_mean,347.1289,45.3399,347.5278,33.7029,343.5931,348.0072,0.01,0.1133,0.29107399113413146,0.5215,0.5032,NO_SIGNAL
field_laplacian_var_mean,25842.2804,7125.3214,25598.6635,7111.115,25187.2086,25889.688,-0.0342,0.1,0.4425235033915137,0.5213,0.5206,NO_SIGNAL
field_hf_residual_energy_mean,25860.8762,7125.8422,25618.1895,7111.9187,25205.5483,25908.447,-0.0341,0.1,0.4425235033915137,0.5212,0.5206,NO_SIGNAL
field_local_contrast_mean,0.9656,0.09,0.9707,0.0436,0.964,0.9707,0.0719,0.08,0.7249566931207618,0.521,0.5074,NO_SIGNAL
field_boundary_discontinuity_max,4.7472,2.3139,4.7442,2.2971,4.7372,4.8078,-0.0013,0.0867,0.6279165272026672,0.5209,0.527,NO_SIGNAL
field_gray_std_max,96.7406,10.9639,97.0976,7.4845,96.5234,97.0244,0.038,0.1133,0.29107399113413146,0.5198,0.5021,NO_SIGNAL
field_text_bg_contrast_range,0.1176,0.0535,0.1213,0.0479,0.1302,0.1177,0.0734,0.0867,0.6279165272026672,0.5187,0.5048,NO_SIGNAL
