alpha,pr_auc,roc_auc,brier_score
0.0,0.97292,0.83578,0.07092
0.05,0.99025,0.91244,0.07056
0.1,0.98907,0.90893,0.07028
0.15,0.98886,0.90861,0.0701
0.2,0.9887,0.90807,0.07001
0.25,0.98823,0.90638,0.07001
0.3,0.9881,0.90609,0.07009
0.35,0.98804,0.90599,0.07027
0.4,0.98803,0.90604,0.07054
0.45,0.98803,0.90614,0.0709
0.5,0.98804,0.90626,0.07134
0.55,0.98803,0.90625,0.07188
0.6,0.98933,0.91633,0.07251
0.65,0.98947,0.91741,0.07323
0.7,0.98979,0.91972,0.07403
0.75,0.98732,0.90509,0.07493
0.8,0.98596,0.89751,0.07592
0.85,0.98264,0.87527,0.077
0.9,0.97772,0.84437,0.07816
0.95,0.96996,0.79243,0.07942
1.0,0.9451,0.59173,0.08077
