alpha,spec_constraint,threshold,precision,recall,f1,specificity,fpr,accuracy,visual_splice_recall,other_forged_recall,coordinated_recall,genuine_specificity
0.05,0.85,0.77,0.9852,0.7107,0.8257,0.8933,0.1067,0.7273,0.3444,0.9967,0.0933,0.8933
0.05,0.9,0.89,0.9931,0.6693,0.7997,0.9533,0.0467,0.6952,0.2822,0.9656,0.0533,0.9533
0.05,0.95,0.89,0.9931,0.6693,0.7997,0.9533,0.0467,0.6952,0.2822,0.9656,0.0533,0.9533
0.25,0.85,0.8,0.9839,0.894,0.9368,0.8533,0.1467,0.8903,0.9356,0.9978,0.1467,0.8533
0.25,0.9,0.89,0.9933,0.6893,0.8139,0.9533,0.0467,0.7133,0.3378,0.9689,0.0667,0.9533
0.25,0.95,0.89,0.9933,0.6893,0.8139,0.9533,0.0467,0.7133,0.3378,0.9689,0.0667,0.9533
0.5,0.85,0.85,0.9838,0.892,0.9357,0.8533,0.1467,0.8885,0.9356,0.9978,0.1267,0.8533
0.5,0.9,0.88,0.986,0.7067,0.8233,0.9,0.1,0.7242,0.3422,0.9911,0.0933,0.9
0.5,0.95,0.89,0.9933,0.6907,0.8148,0.9533,0.0467,0.7145,0.3378,0.97,0.0733,0.9533
0.7,0.85,0.88,0.9888,0.8813,0.932,0.9,0.1,0.883,0.9378,0.9778,0.1333,0.9
0.7,0.9,0.88,0.9888,0.8813,0.932,0.9,0.1,0.883,0.9378,0.9778,0.1333,0.9
0.7,0.95,0.91,0.9965,0.7493,0.8554,0.9733,0.0267,0.7697,0.6578,0.9111,0.0533,0.9733
0.75,0.85,0.88,0.9844,0.882,0.9304,0.86,0.14,0.88,0.9422,0.9756,0.14,0.86
0.75,0.9,0.89,0.9902,0.8713,0.927,0.9133,0.0867,0.8752,0.9333,0.9656,0.12,0.9133
0.75,0.95,0.92,0.994,0.3307,0.4962,0.98,0.02,0.3897,0.78,0.1578,0.02,0.98
