absolute_path,relative_path,mtime_utc,size_bytes,sha256,contains_coefficients,contains_threshold,contains_validation_metrics,references_test_data,relation_to_freeze,could_overwrite_model
/Users/pavankumar/Desktop/CrossVerify_M3/src/m3_crossmodal/fusion/train_and_freeze_fusion.py,src/m3_crossmodal/fusion/train_and_freeze_fusion.py,2026-09-16T10:14:04.348062+00:00,14221,60ed70adcbefefa76b68665fcb11bf7df10b54f8c84501be962d04e99b5e22af,True,True,True,True,BEFORE_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/src/m3_crossmodal/fusion/run_final_test_evaluation.py,src/m3_crossmodal/fusion/run_final_test_evaluation.py,2026-09-16T10:32:55.000571+00:00,23062,46dc5c7c98f9790253a324bb94df3fafcb144c0be43a591483c3407dfab8cf64,False,True,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_freeze/final_fusion_model.joblib,outputs/fusion/final_fusion_freeze/final_fusion_model.joblib,2026-09-16T10:14:23.284029+00:00,879,4e8391922ec267865abecb2348c256ed6f6c981986876772bfa6f17ab81110d2,False,False,False,False,AT_ORIGINAL_FREEZE,True
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_freeze/final_fusion_config.json,outputs/fusion/final_fusion_freeze/final_fusion_config.json,2026-09-16T10:14:23.285737+00:00,830,b9435eb7c6534663f335960735001587e51ffc044cc6e7177641deec72d0c03c,True,True,False,True,AT_ORIGINAL_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_freeze/final_fusion_feature_schema.json,outputs/fusion/final_fusion_freeze/final_fusion_feature_schema.json,2026-09-16T10:14:23.285007+00:00,482,a2b602b87bbfafed24367edaf8d9a3b264de7b1be2cfbf43e3db76d3048e1842,False,False,False,False,AT_ORIGINAL_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_freeze/final_fusion_validation_metrics.json,outputs/fusion/final_fusion_freeze/final_fusion_validation_metrics.json,2026-09-16T10:14:23.287892+00:00,1997,948cfe117e2bc581fde1429117e38ba333d01b0477907ff9c3a17552a0d9440e,False,True,True,False,AT_ORIGINAL_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_freeze/final_fusion_report.md,outputs/fusion/final_fusion_freeze/final_fusion_report.md,2026-09-16T10:14:23.304871+00:00,4388,9dcd7a52e8fce0b0c2813a100b4b9eb8c081ce26d8e93a6c8129fb36f06cd472,True,True,True,True,AT_ORIGINAL_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_fusion_validation_predictions.csv,outputs/fusion/final_fusion_validation_predictions.csv,2026-09-16T10:14:23.304362+00:00,192021,3db9c5268f87d0ca25451f1fc0c8e4a1459edb59540de97e679cd0ad7bc8c147,False,True,False,False,AT_ORIGINAL_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/val_alignment.csv,outputs/fusion/val_alignment.csv,2026-09-16T07:08:57.412784+00:00,195486,854edd4837f0eba3bdf87e436c5d6e31ff3ce25fa6e28f704c8c0bb09f7faa31,False,True,False,False,BEFORE_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/train_oof_alignment.csv,outputs/fusion/train_oof_alignment.csv,2026-09-16T10:05:05.833850+00:00,1320291,75738c10435370aef80a82112454bc501c24985852845265330685015d70af5e,False,True,True,False,BEFORE_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_evaluation_report.md,outputs/fusion/final_test_evaluation/final_test_evaluation_report.md,2026-09-16T10:33:22.010859+00:00,3724,bb65cb3448b443ba4593bbdcd0c4543c3f141c6a72780471911990e4775ac221,False,True,True,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_metrics.json,outputs/fusion/final_test_evaluation/final_test_metrics.json,2026-09-16T10:33:18.390371+00:00,514,abfa064885ecd982cbef3b19374a458fce8075ae363ab7def87d5916bea08e24,False,True,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_alignment_report.md,outputs/fusion/final_test_evaluation/final_test_alignment_report.md,2026-09-16T10:33:22.009419+00:00,1473,af32609515aa605ef97c5a05ec8c8219ad39148bb9eaeb6624a447ec4dc8d88d,False,True,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_model_comparison.csv,outputs/fusion/final_test_evaluation/final_test_model_comparison.csv,2026-09-16T10:33:22.009115+00:00,542,5fe688d68eaffe52f427f18fa6077fc3e02de599be91d548c08b31a07508065f,False,True,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_confusion_matrix.json,outputs/fusion/final_test_evaluation/final_test_confusion_matrix.json,2026-09-16T10:33:18.390119+00:00,144,d9ccf37bc3430c96f80084544472981b8978d013555b7e5c21af1a39f1dfb2c1,False,False,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_bootstrap_ci.json,outputs/fusion/final_test_evaluation/final_test_bootstrap_ci.json,2026-09-16T10:33:21.987112+00:00,795,d888b9117f9e2962812cebc15fc14e179d12bc1c206e1fdfd8e512636139aa16,False,False,True,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_family_metrics.csv,outputs/fusion/final_test_evaluation/final_test_family_metrics.csv,2026-09-16T10:33:21.997210+00:00,252,62078d34b9a01328f58c220f2b5273be5cd750981c3cf855763d3bbabefe1d9e,False,False,False,True,AFTER_FREEZE,False
/Users/pavankumar/Desktop/CrossVerify_M3/outputs/fusion/final_test_evaluation/final_test_attack_metrics.csv,outputs/fusion/final_test_evaluation/final_test_attack_metrics.csv,2026-09-16T10:33:21.999690+00:00,568,f12069dc14079b66b537111209f7fd2bf2b38e5def7a1db77bf096f09dbc01c9,False,False,False,True,AFTER_FREEZE,False
