id,document_family,record_id,template_variant,tamper_type,final_label,cnn_label,fold,cnn_probability_oof,m3_probability_oof
family_a_000000_genuine,family_a,be7888afac4ee2cc,v2,genuine,genuine,genuine,0,0.005399,0.242722
family_a_000001_text_qr_mismatch,family_a,be7888afac4ee2cc,v2,text_qr_mismatch,forged,genuine,0,0.002867,0.976678
family_a_000002_qr_only_mismatch,family_a,be7888afac4ee2cc,v2,qr_only_mismatch,forged,genuine,0,0.005378,0.981938
family_a_000003_checksum_invalid,family_a,be7888afac4ee2cc,v2,checksum_invalid,forged,genuine,0,0.004965,0.999344
family_a_000004_format_invalid,family_a,be7888afac4ee2cc,v2,format_invalid,forged,genuine,0,0.000271,0.992944
family_a_000005_field_missing,family_a,be7888afac4ee2cc,v2,field_missing,forged,genuine,0,0.001061,0.98427
family_a_000006_fine_grained_edit,family_a,be7888afac4ee2cc,v2,fine_grained_edit,forged,genuine,0,0.006479,0.981938
family_a_000007_coordinated_full_forgery,family_a,be7888afac4ee2cc,v2,coordinated_full_forgery,forged,genuine,0,0.014007,0.242722
family_a_000008_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,0,0.999057,0.242722
family_a_000009_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,0,0.997844,0.242722
family_a_000010_visual_splice,family_a,be7888afac4ee2cc,v2,visual_splice,forged,forged,0,0.962314,0.984214
family_a_000033_genuine,family_a,4efd1ea374ac7007,v2,genuine,genuine,genuine,0,0.008072,0.242722
family_a_000034_text_qr_mismatch,family_a,4efd1ea374ac7007,v2,text_qr_mismatch,forged,genuine,0,0.009354,0.976678
family_a_000035_qr_only_mismatch,family_a,4efd1ea374ac7007,v2,qr_only_mismatch,forged,genuine,0,0.005802,0.397579
family_a_000036_checksum_invalid,family_a,4efd1ea374ac7007,v2,checksum_invalid,forged,genuine,0,0.004138,0.999344
family_a_000037_format_invalid,family_a,4efd1ea374ac7007,v2,format_invalid,forged,genuine,0,0.000938,0.992224
family_a_000038_field_missing,family_a,4efd1ea374ac7007,v2,field_missing,forged,genuine,0,0.001205,0.98427
