model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
M3_Calibrated,0.01,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.02,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.03,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.04,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.05,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.06,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.07,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.08,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.09,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.1,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.11,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.12,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.13,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.14,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.15,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.16,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.17,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.18,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.19,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.2,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.21,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.22,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.23,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.24,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.25,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.26,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.27,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.28,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.29,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.3,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.31,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.32,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.33,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.34,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.35,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.36,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.37,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.38,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.39,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
M3_Calibrated,0.4,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
