id,record_id,document_family,tamper_type,final_label,target,cnn_probability,cnn_prediction,m3_probability,m3_calibrated_probability,oof_fold,image_path
family_a_000000_genuine,be7888afac4ee2cc,0.0,genuine,genuine,0,0.009295097552239895,0,0.242431,0.754239,0,images/family_a/family_a_000000_genuine.png
family_a_000001_text_qr_mismatch,be7888afac4ee2cc,0.0,text_qr_mismatch,forged,1,0.01215208601206541,0,0.95527,0.994138,0,images/family_a/family_a_000001_text_qr_mismatch.png
family_a_000002_qr_only_mismatch,be7888afac4ee2cc,0.0,qr_only_mismatch,forged,1,0.010226129554212093,0,0.98952,0.994604,0,images/family_a/family_a_000002_qr_only_mismatch.png
family_a_000003_checksum_invalid,be7888afac4ee2cc,0.0,checksum_invalid,forged,1,0.010587178170681,0,0.998487,0.995253,0,images/family_a/family_a_000003_checksum_invalid.png
family_a_000004_format_invalid,be7888afac4ee2cc,0.0,format_invalid,forged,1,0.0005020732060074806,0,0.999657,0.995223,0,images/family_a/family_a_000004_format_invalid.png
family_a_000005_field_missing,be7888afac4ee2cc,0.0,field_missing,forged,1,0.0004117557837162167,0,0.99023,0.994995,0,images/family_a/family_a_000005_field_missing.png
family_a_000006_fine_grained_edit,be7888afac4ee2cc,0.0,fine_grained_edit,forged,1,0.007457158528268337,0,0.98952,0.994604,0,images/family_a/family_a_000006_fine_grained_edit.png
family_a_000007_coordinated_full_forgery,be7888afac4ee2cc,0.0,coordinated_full_forgery,forged,1,0.010861764661967754,0,0.242431,0.754239,0,images/family_a/family_a_000007_coordinated_full_forgery.png
family_a_000008_visual_splice,be7888afac4ee2cc,0.0,visual_splice,forged,1,0.999800980091095,1,0.242431,0.754239,0,images/family_a/family_a_000008_visual_splice.png
family_a_000009_visual_splice,be7888afac4ee2cc,0.0,visual_splice,forged,1,0.9999369382858276,1,0.242431,0.754239,0,images/family_a/family_a_000009_visual_splice.png
family_a_000010_visual_splice,be7888afac4ee2cc,0.0,visual_splice,forged,1,0.9995927214622498,1,0.996329,0.995073,0,images/family_a/family_a_000010_visual_splice.png
family_a_000033_genuine,4efd1ea374ac7007,0.0,genuine,genuine,0,0.015092907473444939,0,0.242431,0.754239,0,images/family_a/family_a_000033_genuine.png
family_a_000034_text_qr_mismatch,4efd1ea374ac7007,0.0,text_qr_mismatch,forged,1,0.03431863710284233,0,0.95527,0.994138,0,images/family_a/family_a_000034_text_qr_mismatch.png
family_a_000035_qr_only_mismatch,4efd1ea374ac7007,0.0,qr_only_mismatch,forged,1,0.041277240961790085,0,0.403446,0.884797,0,images/family_a/family_a_000035_qr_only_mismatch.png
family_a_000036_checksum_invalid,4efd1ea374ac7007,0.0,checksum_invalid,forged,1,0.009804945439100266,0,0.998487,0.995253,0,images/family_a/family_a_000036_checksum_invalid.png
family_a_000037_format_invalid,4efd1ea374ac7007,0.0,format_invalid,forged,1,0.0011110323248431087,0,0.992128,0.995184,0,images/family_a/family_a_000037_format_invalid.png
family_a_000038_field_missing,4efd1ea374ac7007,0.0,field_missing,forged,1,3.4404707548674196e-05,0,0.99023,0.994995,0,images/family_a/family_a_000038_field_missing.png
family_a_000039_fine_grained_edit,4efd1ea374ac7007,0.0,fine_grained_edit,forged,1,0.00035330685204826295,0,0.98952,0.994604,0,images/family_a/family_a_000039_fine_grained_edit.png
family_a_000040_coordinated_full_forgery,4efd1ea374ac7007,0.0,coordinated_full_forgery,forged,1,0.00039410326280631125,0,0.242431,0.754239,0,images/family_a/family_a_000040_coordinated_full_forgery.png
family_a_000041_visual_splice,4efd1ea374ac7007,0.0,visual_splice,forged,1,0.9999799728393555,1,0.999735,0.995247,0,images/family_a/family_a_000041_visual_splice.png
family_a_000042_visual_splice,4efd1ea374ac7007,0.0,visual_splice,forged,1,0.999812662601471,1,0.242431,0.754239,0,images/family_a/family_a_000042_visual_splice.png
family_a_000043_visual_splice,4efd1ea374ac7007,0.0,visual_splice,forged,1,0.9999204874038696,1,0.970141,0.994908,0,images/family_a/family_a_000043_visual_splice.png
family_a_000044_genuine,a616da14d1c99779,0.0,genuine,genuine,0,0.003028611186891794,0,0.242431,0.754239,0,images/family_a/family_a_000044_genuine.png
family_a_000045_text_qr_mismatch,a616da14d1c99779,0.0,text_qr_mismatch,forged,1,0.009916388429701328,0,0.98952,0.994604,0,images/family_a/family_a_000045_text_qr_mismatch.png
family_a_000046_qr_only_mismatch,a616da14d1c99779,0.0,qr_only_mismatch,forged,1,0.0010236225789412856,0,0.970044,0.994919,0,images/family_a/family_a_000046_qr_only_mismatch.png
family_a_000047_checksum_invalid,a616da14d1c99779,0.0,checksum_invalid,forged,1,0.002653227187693119,0,0.998487,0.995253,0,images/family_a/family_a_000047_checksum_invalid.png
family_a_000048_format_invalid,a616da14d1c99779,0.0,format_invalid,forged,1,4.26495389547199e-05,0,0.999657,0.995223,0,images/family_a/family_a_000048_format_invalid.png
family_a_000049_field_missing,a616da14d1c99779,0.0,field_missing,forged,1,0.00017308950191363692,0,0.99023,0.994995,0,images/family_a/family_a_000049_field_missing.png
family_a_000050_fine_grained_edit,a616da14d1c99779,0.0,fine_grained_edit,forged,1,0.001078562461771071,0,0.967758,0.994781,0,images/family_a/family_a_000050_fine_grained_edit.png
family_a_000051_coordinated_full_forgery,a616da14d1c99779,0.0,coordinated_full_forgery,forged,1,0.000915641721803695,0,0.242431,0.754239,0,images/family_a/family_a_000051_coordinated_full_forgery.png
family_a_000052_visual_splice,a616da14d1c99779,0.0,visual_splice,forged,1,0.999894380569458,1,0.999735,0.995247,0,images/family_a/family_a_000052_visual_splice.png
family_a_000053_visual_splice,a616da14d1c99779,0.0,visual_splice,forged,1,0.9999574422836304,1,0.999735,0.995247,0,images/family_a/family_a_000053_visual_splice.png
family_a_000054_visual_splice,a616da14d1c99779,0.0,visual_splice,forged,1,0.9991599321365356,1,0.780136,0.980429,0,images/family_a/family_a_000054_visual_splice.png
family_a_000055_genuine,0e2e14708d5d3184,0.0,genuine,genuine,0,0.01559069287031889,0,0.242431,0.754239,3,images/family_a/family_a_000055_genuine.png
family_a_000056_text_qr_mismatch,0e2e14708d5d3184,0.0,text_qr_mismatch,forged,1,0.07591613382101059,0,0.95527,0.994138,3,images/family_a/family_a_000056_text_qr_mismatch.png
family_a_000057_qr_only_mismatch,0e2e14708d5d3184,0.0,qr_only_mismatch,forged,1,0.01821969263255596,0,0.999735,0.995247,3,images/family_a/family_a_000057_qr_only_mismatch.png
family_a_000058_checksum_invalid,0e2e14708d5d3184,0.0,checksum_invalid,forged,1,0.02124078944325447,0,0.998487,0.995253,3,images/family_a/family_a_000058_checksum_invalid.png
family_a_000059_format_invalid,0e2e14708d5d3184,0.0,format_invalid,forged,1,0.0010066594695672393,0,0.992128,0.995184,3,images/family_a/family_a_000059_format_invalid.png
family_a_000060_field_missing,0e2e14708d5d3184,0.0,field_missing,forged,1,0.0004035990568809211,0,0.99023,0.994995,3,images/family_a/family_a_000060_field_missing.png
family_a_000061_fine_grained_edit,0e2e14708d5d3184,0.0,fine_grained_edit,forged,1,0.008079122751951218,0,0.98952,0.994604,3,images/family_a/family_a_000061_fine_grained_edit.png
family_a_000062_coordinated_full_forgery,0e2e14708d5d3184,0.0,coordinated_full_forgery,forged,1,0.0011693849228322506,0,0.403446,0.884797,3,images/family_a/family_a_000062_coordinated_full_forgery.png
family_a_000063_visual_splice,0e2e14708d5d3184,0.0,visual_splice,forged,1,0.9992183446884155,1,0.242431,0.754239,3,images/family_a/family_a_000063_visual_splice.png
family_a_000064_visual_splice,0e2e14708d5d3184,0.0,visual_splice,forged,1,0.9901306629180908,1,0.64569,0.969114,3,images/family_a/family_a_000064_visual_splice.png
family_a_000065_visual_splice,0e2e14708d5d3184,0.0,visual_splice,forged,1,0.9998425245285034,1,0.242431,0.754239,3,images/family_a/family_a_000065_visual_splice.png
family_a_000066_genuine,47687617a01f11ae,0.0,genuine,genuine,0,0.0012228568084537983,0,0.242431,0.754239,4,images/family_a/family_a_000066_genuine.png
family_a_000067_text_qr_mismatch,47687617a01f11ae,0.0,text_qr_mismatch,forged,1,0.03667255863547325,0,0.999735,0.995247,4,images/family_a/family_a_000067_text_qr_mismatch.png
family_a_000068_qr_only_mismatch,47687617a01f11ae,0.0,qr_only_mismatch,forged,1,0.004037711303681135,0,0.98952,0.994604,4,images/family_a/family_a_000068_qr_only_mismatch.png
family_a_000069_checksum_invalid,47687617a01f11ae,0.0,checksum_invalid,forged,1,0.008161064237356186,0,0.998487,0.995253,4,images/family_a/family_a_000069_checksum_invalid.png
family_a_000070_format_invalid,47687617a01f11ae,0.0,format_invalid,forged,1,0.00027985507040284574,0,0.999657,0.995223,4,images/family_a/family_a_000070_format_invalid.png
family_a_000071_field_missing,47687617a01f11ae,0.0,field_missing,forged,1,2.2777545382268727e-05,0,0.889257,0.991373,4,images/family_a/family_a_000071_field_missing.png
family_a_000072_fine_grained_edit,47687617a01f11ae,0.0,fine_grained_edit,forged,1,0.0034886272624135017,0,0.967758,0.994781,4,images/family_a/family_a_000072_fine_grained_edit.png
family_a_000073_coordinated_full_forgery,47687617a01f11ae,0.0,coordinated_full_forgery,forged,1,0.00139342132024467,0,0.242431,0.754239,4,images/family_a/family_a_000073_coordinated_full_forgery.png
family_a_000074_visual_splice,47687617a01f11ae,0.0,visual_splice,forged,1,0.9999154806137085,1,0.242431,0.754239,4,images/family_a/family_a_000074_visual_splice.png
family_a_000075_visual_splice,47687617a01f11ae,0.0,visual_splice,forged,1,0.9999969005584717,1,0.242431,0.754239,4,images/family_a/family_a_000075_visual_splice.png
family_a_000076_visual_splice,47687617a01f11ae,0.0,visual_splice,forged,1,0.999947190284729,1,0.95527,0.994138,4,images/family_a/family_a_000076_visual_splice.png
family_a_000099_genuine,d265c69c7fa74149,0.0,genuine,genuine,0,0.009327009320259094,0,0.242431,0.754239,4,images/family_a/family_a_000099_genuine.png
family_a_000100_text_qr_mismatch,d265c69c7fa74149,0.0,text_qr_mismatch,forged,1,0.011280965991318226,0,0.999735,0.995247,4,images/family_a/family_a_000100_text_qr_mismatch.png
family_a_000101_qr_only_mismatch,d265c69c7fa74149,0.0,qr_only_mismatch,forged,1,0.007259261328727007,0,0.95527,0.994138,4,images/family_a/family_a_000101_qr_only_mismatch.png
family_a_000102_checksum_invalid,d265c69c7fa74149,0.0,checksum_invalid,forged,1,0.013330131769180298,0,0.998487,0.995253,4,images/family_a/family_a_000102_checksum_invalid.png
family_a_000103_format_invalid,d265c69c7fa74149,0.0,format_invalid,forged,1,0.0008230118546634912,0,0.999657,0.995223,4,images/family_a/family_a_000103_format_invalid.png
family_a_000104_field_missing,d265c69c7fa74149,0.0,field_missing,forged,1,0.0016540091019123793,0,0.986605,0.995082,4,images/family_a/family_a_000104_field_missing.png
family_a_000105_fine_grained_edit,d265c69c7fa74149,0.0,fine_grained_edit,forged,1,0.0025865212082862854,0,0.98952,0.994604,4,images/family_a/family_a_000105_fine_grained_edit.png
family_a_000106_coordinated_full_forgery,d265c69c7fa74149,0.0,coordinated_full_forgery,forged,1,0.011838050559163094,0,0.242431,0.754239,4,images/family_a/family_a_000106_coordinated_full_forgery.png
family_a_000107_visual_splice,d265c69c7fa74149,0.0,visual_splice,forged,1,0.9999940395355225,1,0.985631,0.995008,4,images/family_a/family_a_000107_visual_splice.png
family_a_000108_visual_splice,d265c69c7fa74149,0.0,visual_splice,forged,1,0.9995604157447815,1,0.999735,0.995247,4,images/family_a/family_a_000108_visual_splice.png
family_a_000109_visual_splice,d265c69c7fa74149,0.0,visual_splice,forged,1,0.9999948740005493,1,0.999735,0.995247,4,images/family_a/family_a_000109_visual_splice.png
family_a_000132_genuine,8b8430a811fe64e8,0.0,genuine,genuine,0,0.0014078201493248343,0,0.242431,0.754239,4,images/family_a/family_a_000132_genuine.png
family_a_000133_text_qr_mismatch,8b8430a811fe64e8,0.0,text_qr_mismatch,forged,1,0.0018512936076149344,0,0.98952,0.994604,4,images/family_a/family_a_000133_text_qr_mismatch.png
family_a_000134_qr_only_mismatch,8b8430a811fe64e8,0.0,qr_only_mismatch,forged,1,0.0010646111331880093,0,0.95527,0.994138,4,images/family_a/family_a_000134_qr_only_mismatch.png
family_a_000135_checksum_invalid,8b8430a811fe64e8,0.0,checksum_invalid,forged,1,0.0014063770649954677,0,0.998487,0.995253,4,images/family_a/family_a_000135_checksum_invalid.png
