Candidate,Features,Family handling,Model,Val PR-AUC,Val ROC-AUC,Val F1,Val Precision,Val Recall,Threshold,Brier,Decision
A0 Canonical RF,15 Canonical,None (Agnostic),Random Forest,0.9729,0.8357,0.8257,0.9852,0.7107,0.25,0.177,BASELINE REFERENCE
A1 Family + Canonical RF,15 Canonical + Family (16),Context Feature,Random Forest,0.9781,0.8444,0.9072,0.94,0.8767,0.22,0.1757,"ACCEPTED (High Ranking, Dissected)"
A2 Separate Family RFs,15 Canonical per family,Separate Models,Two Random Forests,0.9781,0.844,0.9072,0.94,0.8767,0.22,0.1755,EXPLORED (Equivalent to A1)
A3 Family Interactions RF,15 + Family + 4 Interactions (20),Explicit Interactions,Random Forest,0.9781,0.8444,0.9072,0.94,0.8767,0.23,0.1741,REJECTED (Redundant over A1)
Canonical + Semantic Alignment,15 Canonical + 8 Semantic (23),None (Agnostic),Random Forest,0.9729,0.8356,0.8257,0.9852,0.7107,0.25,0.178,REJECTED (Zero ranking gain over A0)
Canonical + Semantic + Family,15 + Family + 8 Semantic (24),Context Feature,Random Forest,0.9781,0.8443,0.9072,0.94,0.8767,0.22,0.1763,"REJECTED (No gain over A1, higher complexity)"
HistGradientBoosting (A0),15 Canonical,None (Agnostic),HistGradientBoosting,0.9726,0.8336,0.8248,0.9852,0.7093,0.25,0.1809,EXPLORED (Competitive baseline)
HistGradientBoosting (Family),15 Canonical + Family (16),Context Feature,HistGradientBoosting,0.978,0.8437,0.9072,0.94,0.8767,0.22,0.1794,EXPLORED
Ensemble 25RF/75HGB,15 Canonical + Family (16),Context Feature,RF + HGB Ensemble,0.9782,0.8447,0.9072,0.94,0.8767,0.22,0.1781,TOP CANDIDATE (Marginal +0.0001 PR-AUC)
Ensemble 50RF/50HGB,15 Canonical + Family (16),Context Feature,RF + HGB Ensemble,0.9782,0.8446,0.9072,0.94,0.8767,0.22,0.1771,EXPLORED
Ensemble 75RF/25HGB,15 Canonical + Family (16),Context Feature,RF + HGB Ensemble,0.9781,0.8444,0.9072,0.94,0.8767,0.22,0.1763,EXPLORED
Family-Only Negative Control,document_family only (1),Family Only,Threshold / Linear,0.9091,0.5,0.6452,0.9091,0.5,0.5,0.5,NEGATIVE CONTROL (Exact Random Chance)
A1 Calibrated RF,15 Canonical + Family (16),Context Feature,Calibrated RF (Sigmoid),0.9781,0.8445,0.9524,0.9091,1.0,0.22,0.0707,CALIBRATION WINNER (Brier: 0.0709)
